,PLAYER_ID,PLAYER_NAME,STARTER_GAMES,BENCH_GAMES,TOTAL_GAMES,PERCENT_STARTS,STARTER
167,201160,Jason Smith,31.0,51.0,82.0,0.3780487804878049,IN_BETWEEN
168,1891,Jason Terry,18.0,59.0,77.0,0.23376623376623376,IN_BETWEEN
169,201574,Jason Thompson,63.0,18.0,81.0,0.7777777777777778,IN_BETWEEN
170,201145,Jeff Green,70.0,8.0,78.0,0.8974358974358975,YES
171,201952,Jeff Teague,72.0,1.0,73.0,0.9863013698630136,YES
172,203106,Jeffery Taylor,13.0,16.0,29.0,0.4482758620689655,IN_BETWEEN
173,203924,Jerami Grant,11.0,54.0,65.0,0.16923076923076924,NO
174,203087,Jeremy Lamb,8.0,39.0,47.0,0.1702127659574468,NO
175,202391,Jeremy Lin,30.0,44.0,74.0,0.40540540540540543,IN_BETWEEN
176,201573,Jerryd Bayless,4.0,73.0,77.0,0.05194805194805195,NO
177,202710,Jimmy Butler,65.0,0.0,65.0,1.0,YES
178,201149,Joakim Noah,67.0,0.0,67.0,1.0,YES
179,203925,Joe Harris,1.0,50.0,51.0,0.0196078431372549,NO
180,204060,Joe Ingles,32.0,47.0,79.0,0.4050632911392405,IN_BETWEEN
181,2207,Joe Johnson,80.0,0.0,80.0,1.0,YES
182,200777,Joel Freeland,8.0,40.0,48.0,0.16666666666666666,NO
183,201595,Joey Dorsey,17.0,52.0,69.0,0.2463768115942029,IN_BETWEEN
184,203530,Joffrey Lauvergne,1.0,23.0,24.0,0.041666666666666664,NO
185,203089,John Henson,11.0,56.0,67.0,0.16417910447761194,NO
186,203098,John Jenkins,3.0,21.0,24.0,0.125,NO
187,202322,John Wall,79.0,0.0,79.0,1.0,YES
188,203948,Johnny O'Bryant III,15.0,19.0,34.0,0.4411764705882353,IN_BETWEEN
189,202720,Jon Leuer,6.0,57.0,63.0,0.09523809523809523,NO
190,202685,Jonas Valanciunas,80.0,0.0,80.0,1.0,YES
191,203903,Jordan Clarkson,38.0,21.0,59.0,0.6440677966101694,IN_BETWEEN
192,202706,Jordan Hamilton,2.0,12.0,14.0,0.14285714285714285,NO
193,201941,Jordan Hill,57.0,13.0,70.0,0.8142857142857143,YES
194,203268,Jorge Gutierrez,1.0,19.0,20.0,0.05,NO
195,101181,Jose Calderon,42.0,0.0,42.0,1.0,YES
196,201177,Josh McRoberts,4.0,13.0,17.0,0.23529411764705882,IN_BETWEEN
197,2746,Josh Smith,35.0,48.0,83.0,0.42168674698795183,IN_BETWEEN
198,201950,Jrue Holiday,37.0,3.0,40.0,0.925,YES
199,203120,Justin Hamilton,14.0,27.0,41.0,0.34146341463414637,IN_BETWEEN
200,203200,Justin Holiday,4.0,55.0,59.0,0.06779661016949153,NO
201,203994,Jusuf Nurkic,27.0,35.0,62.0,0.43548387096774194,IN_BETWEEN
202,203909,KJ McDaniels,15.0,47.0,62.0,0.24193548387096775,IN_BETWEEN
203,202695,Kawhi Leonard,64.0,0.0,64.0,1.0,YES
204,203482,Kelly Olynyk,13.0,51.0,64.0,0.203125,IN_BETWEEN
205,202689,Kemba Walker,58.0,4.0,62.0,0.9354838709677419,YES
206,203088,Kendall Marshall,3.0,25.0,28.0,0.10714285714285714,NO
207,2570,Kendrick Perkins,3.0,65.0,68.0,0.04411764705882353,NO
208,202702,Kenneth Faried,71.0,4.0,75.0,0.9466666666666667,YES
209,203145,Kent Bazemore,10.0,65.0,75.0,0.13333333333333333,NO
210,203484,Kentavious Caldwell-Pope,82.0,0.0,82.0,1.0,YES
211,201142,Kevin Durant,27.0,0.0,27.0,1.0,YES
212,708,Kevin Garnett,47.0,0.0,47.0,1.0,YES
213,201567,Kevin Love,75.0,0.0,75.0,1.0,YES
214,2755,Kevin Martin,36.0,3.0,39.0,0.9230769230769231,YES
215,203114,Khris Middleton,58.0,21.0,79.0,0.7341772151898734,IN_BETWEEN
216,2550,Kirk Hinrich,22.0,44.0,66.0,0.3333333333333333,IN_BETWEEN
217,202691,Klay Thompson,77.0,0.0,77.0,1.0,YES
218,977,Kobe Bryant,35.0,0.0,35.0,1.0,YES
219,201585,Kosta Koufos,3.0,78.0,81.0,0.037037037037037035,NO
220,203123,Kostas Papanikolaou,1.0,42.0,43.0,0.023255813953488372,NO
221,2743,Kris Humphries,17.0,47.0,64.0,0.265625,IN_BETWEEN
222,203937,Kyle Anderson,8.0,25.0,33.0,0.24242424242424243,IN_BETWEEN
223,2594,Kyle Korver,75.0,0.0,75.0,1.0,YES
224,200768,Kyle Lowry,70.0,0.0,70.0,1.0,YES
225,203124,Kyle O'Quinn,17.0,34.0,51.0,0.3333333333333333,IN_BETWEEN
226,202713,Kyle Singler,58.0,22.0,80.0,0.725,IN_BETWEEN
227,202681,Kyrie Irving,75.0,0.0,75.0,1.0,YES
228,200746,LaMarcus Aldridge,71.0,0.0,71.0,1.0,YES
229,202362,Lance Stephenson,25.0,36.0,61.0,0.4098360655737705,IN_BETWEEN
230,202498,Lance Thomas,37.0,25.0,62.0,0.5967741935483871,IN_BETWEEN
231,202361,Landry Fields,9.0,17.0,26.0,0.34615384615384615,IN_BETWEEN
232,204038,Langston Galloway,41.0,4.0,45.0,0.9111111111111111,YES
233,203580,Larry Drew II,1.0,11.0,12.0,0.08333333333333333,NO
234,202336,Larry Sanders,26.0,1.0,27.0,0.9629629629629629,YES
235,2544,LeBron James,69.0,0.0,69.0,1.0,YES
236,2571,Leandro Barbosa,1.0,65.0,66.0,0.015151515151515152,NO
237,203485,Lorenzo Brown,7.0,22.0,29.0,0.2413793103448276,IN_BETWEEN
238,200811,Lou Amundson,35.0,18.0,53.0,0.660377358490566,IN_BETWEEN
239,201601,Luc Mbah a Moute,61.0,6.0,67.0,0.9104477611940298,YES
240,2449,Luis Scola,16.0,65.0,81.0,0.19753086419753085,NO
241,202337,Luke Babbitt,19.0,44.0,63.0,0.30158730158730157,IN_BETWEEN
242,2736,Luol Deng,72.0,0.0,72.0,1.0,YES
243,201188,Marc Gasol,81.0,0.0,81.0,1.0,YES
244,101162,Marcin Gortat,82.0,0.0,82.0,1.0,YES
245,201158,Marco Belinelli,9.0,53.0,62.0,0.14516129032258066,NO
246,202694,Marcus Morris,35.0,46.0,81.0,0.43209876543209874,IN_BETWEEN
247,203935,Marcus Smart,38.0,29.0,67.0,0.5671641791044776,IN_BETWEEN
248,201596,Mario Chalmers,37.0,43.0,80.0,0.4625,IN_BETWEEN
249,203900,Markel Brown,29.0,18.0,47.0,0.6170212765957447,IN_BETWEEN
250,202693,Markieff Morris,82.0,0.0,82.0,1.0,YES
251,201578,Marreese Speights,9.0,67.0,76.0,0.11842105263157894,NO
252,101107,Marvin Williams,37.0,41.0,78.0,0.47435897435897434,IN_BETWEEN
253,203486,Mason Plumlee,45.0,37.0,82.0,0.5487804878048781,IN_BETWEEN
254,2440,Matt Barnes,74.0,2.0,76.0,0.9736842105263158,YES
255,2588,Matt Bonner,19.0,53.0,72.0,0.2638888888888889,IN_BETWEEN
256,203521,Matthew Dellavedova,13.0,54.0,67.0,0.19402985074626866,NO
257,203090,Maurice Harkless,4.0,41.0,45.0,0.08888888888888889,NO
258,203086,Meyers Leonard,7.0,48.0,55.0,0.12727272727272726,NO
259,201563,Michael Beasley,1.0,23.0,24.0,0.041666666666666664,NO
260,203487,Michael Carter-Williams,63.0,3.0,66.0,0.9545454545454546,YES
